GRID,ID_VUELO,value,esteX,norteY,VIS_BEACH,VIS_WATER,KAYAKS,BOATS,SKY_COVER,WATER_TEMP,FECHA
305,V10C,0,795916.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
306,V10C,0,795946.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
307,V10C,0,795976.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
309,V10C,0,795496.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
310,V10C,0,795526.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
311,V10C,0,795556.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
312,V10C,0,795586.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
313,V10C,2,795616.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
314,V10C,0,795646.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
315,V10C,0,795676.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
316,V10C,0,795706.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
318,V10C,0,795766.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
319,V10C,0,795796.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
320,V10C,0,795826.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
321,V10C,0,795856.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
322,V10C,0,795886.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
323,V10C,0,795916.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
324,V10C,0,795946.88330,9915665.57300,23,23,0,0,8,26,5/12/2021
326,V10C,0,795556.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
327,V10C,0,795586.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
328,V10C,0,795616.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
329,V10C,0,795646.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
330,V10C,0,795676.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
332,V10C,0,795736.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
334,V10C,0,795796.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
335,V10C,0,795826.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
336,V10C,0,795886.88330,9915695.57300,23,23,0,0,8,26,5/12/2021
340,V10C,0,795676.88330,9915725.57300,23,23,0,0,8,26,5/12/2021
341,V10C,3,795316.95220,9915215.54000,23,23,0,0,8,26,5/12/2021
342,V10C,0,795346.95600,9915185.61500,23,23,0,0,8,26,5/12/2021
343,V10C,0,795316.84640,9915185.53600,23,23,0,0,8,26,5/12/2021
344,V10C,0,795376.81710,9915155.60900,23,23,0,0,8,26,5/12/2021
346,V10C,0,795286.65730,9915245.70200,23,23,0,0,8,26,5/12/2021
347,V10C,0,795256.75940,9915275.73300,23,23,0,0,8,26,5/12/2021
348,V10C,0,795346.88830,9915155.60900,23,23,0,0,8,26,5/12/2021
608,V10C,0,#N/A,#N/A,23,23,0,0,8,26,5/12/2021
813,V10C,0,#N/A,#N/A,23,23,0,0,8,26,5/12/2021
928,V10C,0,#N/A,#N/A,23,23,0,0,8,26,5/12/2021
971,V10C,0,#N/A,#N/A,23,23,0,0,8,26,5/12/2021
1,V10S,0,795406.88330,9915155.57300,0,0,0,0,7,25,5/12/2021
2,V10S,0,795436.88330,9915155.57300,0,0,0,0,7,25,5/12/2021
5,V10S,2,795376.88330,9915185.57300,0,0,0,0,7,25,5/12/2021
6,V10S,0,795406.88330,9915185.57300,0,0,0,0,7,25,5/12/2021
7,V10S,0,795436.88330,9915185.57300,0,0,0,0,7,25,5/12/2021
8,V10S,0,795466.88330,9915185.57300,0,0,0,0,7,25,5/12/2021
9,V10S,0,795496.88330,9915185.57300,0,0,0,0,7,25,5/12/2021
11,V10S,0,795346.88330,9915215.57300,0,0,0,0,7,25,5/12/2021
12,V10S,1,795376.88330,9915215.57300,0,0,0,0,7,25,5/12/2021
13,V10S,2,795406.88330,9915215.57300,0,0,0,0,7,25,5/12/2021
14,V10S,2,795436.88330,9915215.57300,0,0,0,0,7,25,5/12/2021
15,V10S,4,795466.88330,9915215.57300,0,0,0,0,7,25,5/12/2021
16,V10S,1,795496.88330,9915215.57300,0,0,0,0,7,25,5/12/2021
17,V10S,0,795526.88330,9915215.57300,0,0,0,0,7,25,5/12/2021
